x,y
0.9812819,-1.1821878
-2.3756895,1.5191461
-2.5161881,-1.2757301
-0.07138632,-3.0023286
-0.3072528,-1.8298264
0.2723024,1.739791
2.8580492,-3.2578259
2.8337038,0.3280889
2.1940286,3.8217478
1.2173536,-2.5461535
-0.2506703,-4.0993404
-1.7629883,1.2851316
-2.3222022,-2.3934376
2.727431,-1.2056876
2.2185771,-4.8218827
-2.41347,-6.672211
-1.0622537,4.9309916
1.5169215,0.30689585
-0.9163156,2.380786
-0.009536204,-5.841875
-1.0355173,-1.1425207
1.4105843,2.0135148
0.31122229,3.8908517
-1.3962373,-5.1975474
-2.7340202,3.6167111
